COUNTRY,ISO,SAME,OPPOSE,PARTIAL,ABSENT,COINCIDENCE
Guinea Bissau,GNB,10,58,15,17,0.21
Guyana,GUY,18,65,14,3,0.26
Haiti,HTI,17,34,16,33,0.37
Honduras,HND,24,56,20,0,0.34
Hungary,HUN,48,31,21,0,0.59
Iceland,ISL,39,39,22,0,0.5
India,IND,18,61,21,0,0.29
Indonesia,IDN,12,69,19,0,0.22
Iran,IRN,9,75,13,3,0.16
Iraq,IRQ,15,69,15,1,0.23
Ireland,IRL,33,45,22,0,0.44
Israel,ISR,87,6,6,1,0.91
Italy,ITA,39,38,23,0,0.51
Jamaica,JAM,18,67,13,2,0.25
Japan,JPN,32,41,27,0,0.46
Jordan,JOR,16,70,14,0,0.23
Kazakhstan,KAZ,15,70,14,1,0.22
Kenya,KEN,12,62,16,10,0.22
Kiribati,KIR,19,53,21,7,0.32
Kuwait,KWT,16,68,16,0,0.24
Kyrgyzstan,KGZ,13,67,14,6,0.21
Laos,LAO,13,70,17,0,0.22
Latvia,LVA,45,37,18,0,0.54
Lebanon,LBN,12,71,16,1,0.2
Lesotho,LSO,15,64,15,6,0.24
Liberia,LBR,22,29,14,35,0.45
Libya,LBY,12,67,20,1,0.22
Liechtenstein,LIE,35,45,20,0,0.45
Lithuania,LTU,45,36,19,0,0.55
Luxembourg,LUX,40,38,22,0,0.51
Madagascar,MDG,12,52,34,2,0.3
Malawi,MWI,17,56,18,9,0.29
Malaysia,MYS,13,70,17,0,0.22
Maldives,MDV,19,68,13,0,0.26
Mali,MLI,15,62,20,3,0.26
Malta,MLT,34,47,19,0,0.44
Marshall Islands,MHL,40,23,18,19,0.6
Mauritania,MRT,14,68,18,0,0.23
Mauritius,MUS,16,68,14,2,0.23
Mexico,MEX,17,61,22,0,0.28
Micronesia,FSM,40,14,13,33,0.69
Monaco,MCO,41,36,22,1,0.53
Mongolia,MNG,14,66,18,2,0.23
Montenegro,MNE,42,39,19,0,0.52
Morocco,MAR,16,68,13,3,0.23
Mozambique,MOZ,17,69,14,0,0.24
Myanmar,MMR,10,56,16,18,0.22
Namibia,NAM,13,69,16,2,0.21
Nauru,NRU,23,24,18,35,0.49
Nepal,NPL,17,68,14,1,0.24
Netherlands,NLD,44,37,19,0,0.54
New Zealand,NZL,36,46,18,0,0.45
Nicaragua,NIC,10,76,13,1,0.17
Niger,NER,12,60,18,10,0.23
Nigeria,NGA,13,65,21,1,0.24
North Macedonia,MKD,42,39,19,0,0.52
Norway,NOR,39,41,20,0,0.49
Oman,OMN,16,69,15,0,0.24
Pakistan,PAK,14,62,22,2,0.26
Palau,PLW,17,35,25,23,0.38
Panama,PAN,20,63,16,1,0.28
Papua New Guinea,PNG,28,51,21,0,0.39
Paraguay,PRY,17,65,18,0,0.26
Peru,PER,18,64,17,1,0.27
Philippines,PHL,16,71,13,0,0.23
Poland,POL,44,36,20,0,0.54
Portugal,PRT,39,38,23,0,0.51
Qatar,QAT,15,68,16,1,0.23
Republic of Korea,KOR,37,38,25,0,0.5
Moldova,MDA,33,47,20,0,0.43
Romania,ROU,44,36,20,0,0.54
Russian Federation,RUS,17,64,19,0,0.27
Rwanda,RWA,14,50,27,9,0.3
Saint Kitts and Nevis,KNA,16,55,10,19,0.26
Saint Lucia,LCA,19,68,11,2,0.25
Saint Vincent and the Grenadines,VCT,17,63,15,5,0.26
Samoa,WSM,19,58,17,6,0.29
San Marino,SMR,33,45,22,0,0.44
Sao Tome and Principe,STP,10,50,16,24,0.24
Saudi Arabia,SAU,18,68,14,0,0.25
Senegal,SEN,15,67,11,7,0.22
Serbia,SRB,20,47,24,9,0.35
Seychelles,SYC,7,15,11,67,0.38
Sierra Leone,SLE,15,68,10,7,0.22
Singapore,SGP,18,65,17,0,0.27
Slovakia,SVK,44,36,20,0,0.54
Slovenia,SVN,44,38,18,0,0.53
Solomon Islands,SLB,11,41,22,26,0.3
Somalia,SOM,0,2,10,88,0.42
South Africa,ZAF,15,67,17,1,0.24
South Sudan,SSD,3,23,21,53,0.29
Spain,ESP,39,38,23,0,0.51
Sri Lanka,LKA,14,69,17,0,0.23
Sudan,SDN,12,71,16,1,0.2
Suriname,SUR,14,69,15,2,0.22
Sweden,SWE,35,41,24,0,0.47
Switzerland,CHE,33,42,25,0,0.46
Syrian Arab Republic,SYR,8,75,13,4,0.15
Tajikistan,TJK,13,62,16,9,0.23
Thailand,THA,16,66,18,0,0.25
Timor-Leste,TLS,15,64,12,9,0.23
Togo,TGO,17,56,27,0,0.31
Tonga,TON,14,40,27,19,0.34
Trinidad and Tobago,TTO,16,67,15,2,0.24
Tunisia,TUN,14,69,15,2,0.22
Türkiye,TUR,35,49,15,1,0.43
Turkmenistan,TKM,10,53,10,27,0.21
Tuvalu,TUV,20,34,11,35,0.39
Uganda,UGA,15,53,16,16,0.27
Ukraine,UKR,39,34,25,2,0.53
United Arab Emirates,ARE,16,69,14,1,0.23
United Kingdom,GBR,52,31,17,0,0.61
United Republic of Tanzania,TZA,13,58,16,13,0.24
Uruguay,URY,18,59,23,0,0.3
Uzbekistan,UZB,13,68,13,6,0.21
Vanuatu,VUT,16,49,14,21,0.29
Venezuela,VEN,9,72,13,6,0.16
Viet Nam,VNM,16,70,13,1,0.23
Yemen,YEM,17,66,15,2,0.25
Zambia,ZMB,12,54,17,17,0.25
Zimbabwe,ZWE,12,73,14,1,0.19
