COUNTRY,ISO,SAME,OPPOSE,PARTIAL,ABSENT,COINCIDENCE
Afghanistan,AFG,14,68,11,7,0.21
Albania,ALB,42,37,21,0,0.53
Algeria,DZA,10,71,19,0,0.2
Andorra,AND,34,45,21,0,0.45
Angola,AGO,11,59,17,13,0.22
Antigua and Barbuda,ATG,15,52,13,20,0.27
Argentina,ARG,20,64,16,0,0.28
Armenia,ARM,17,50,28,5,0.33
Australia,AUS,51,26,23,0,0.63
Austria,AUT,37,44,19,0,0.47
Azerbaijan,AZE,15,68,13,4,0.22
Bahamas,BHS,19,61,12,8,0.27
Bahrain,BHR,18,69,13,0,0.25
Bangladesh,BGD,15,68,17,0,0.24
Barbados,BRB,20,67,12,1,0.26
Belarus,BLR,10,64,26,0,0.23
Belgium,BEL,41,37,22,0,0.52
Belize,BLZ,19,67,13,1,0.26
Benin,BEN,11,32,14,43,0.32
Bhutan,BTN,15,69,16,0,0.23
Bolivia,BOL,14,69,15,2,0.22
Bosnia and Herzegovina,BIH,29,43,28,0,0.43
Botswana,BWA,20,67,12,1,0.26
Brazil,BRA,24,52,24,0,0.36
Brunei Darussalam,BRN,15,70,15,0,0.23
Bulgaria,BGR,45,38,17,0,0.54
Burkina Faso,BFA,13,56,10,21,0.23
Burundi,BDI,11,68,13,8,0.19
Cabo Verde,CPV,16,63,16,5,0.25
Cambodia,KHM,12,73,13,2,0.19
Cameroon,CMR,12,47,36,5,0.32
Canada,CAN,54,26,20,0,0.64
Central African Republic,CAF,7,31,17,45,0.28
Chad,TCD,14,62,15,9,0.24
Chile,CHL,18,67,15,0,0.26
China,CHN,10,71,17,2,0.19
Colombia,COL,21,61,18,0,0.3
Comoros,COM,9,33,14,44,0.29
Congo,COG,10,45,12,33,0.24
Costa Rica,CRI,21,66,13,0,0.28
Côte D'Ivoire,CIV,16,61,20,3,0.27
Croatia,HRV,41,35,22,2,0.53
Cuba,CUB,10,75,14,1,0.17
Cyprus,CYP,34,47,18,1,0.43
Czechia,CZE,48,35,17,0,0.57
DPRK,PRK,9,65,20,6,0.2
DRC,COD,11,30,11,48,0.32
Denmark,DNK,44,36,20,0,0.54
Djibouti,DJI,14,69,14,3,0.22
Dominica,DMA,6,23,14,57,0.3
Dominican Republic,DOM,19,68,12,1,0.25
Ecuador,ECU,16,67,17,0,0.25
Egypt,EGY,13,68,19,0,0.23
El Salvador,SLV,18,69,12,1,0.24
Equatorial Guinea,GNQ,12,40,11,37,0.28
Eritrea,ERI,11,67,19,3,0.21
Estonia,EST,46,36,18,0,0.55
eSwatini,SWZ,11,38,12,39,0.28
Ethiopia,ETH,12,65,18,5,0.22
Fiji,FJI,15,60,17,8,0.26
Finland,FIN,40,40,20,0,0.5
France,FRA,47,32,21,0,0.58
Gabon,GAB,13,56,14,17,0.24
Gambia,GMB,17,68,11,4,0.23
Georgia,GEO,36,35,28,1,0.51
Germany,DEU,45,36,19,0,0.55
Ghana,GHA,15,50,17,18,0.29
Greece,GRC,42,40,18,0,0.51
Grenada,GRD,15,67,14,4,0.23
Guatemala,GTM,25,55,20,0,0.35
Guinea,GIN,12,41,12,35,0.28
