COUNTRY,ISO,SAME,OPPOSE,PARTIAL,ABSENT,COINCIDENCE
Afghanistan,AFG,15,49,8,14,0.32
Albania,ALB,46,19,21,0,0.66
Algeria,DZA,13,52,21,0,0.27
Andorra,AND,37,29,20,0,0.55
Angola,AGO,17,50,16,3,0.31
Antigua and Barbuda,ATG,15,46,8,17,0.34
Argentina,ARG,24,46,16,0,0.37
Armenia,ARM,20,38,25,3,0.40
Australia,AUS,54,12,20,0,0.74
Austria,AUT,38,28,20,0,0.56
Azerbaijan,AZE,18,50,9,9,0.32
Bahamas,BHS,18,45,8,15,0.36
Bahrain,BHR,21,51,14,0,0.33
Bangladesh,BGD,18,51,15,2,0.31
Barbados,BRB,21,50,12,3,0.33
Belarus,BLR,13,52,20,1,0.27
Belgium,BEL,46,21,19,0,0.65
Belize,BLZ,15,48,8,15,0.33
Benin,BEN,5,21,4,56,0.45
Bhutan,BTN,17,49,19,1,0.31
Bolivia,BOL,14,55,17,0,0.26
Bosnia and Herzegovina,BIH,33,24,28,1,0.56
Botswana,BWA,22,40,11,13,0.40
Brazil,BRA,22,36,27,1,0.42
Brunei Darussalam,BRN,17,52,17,0,0.30
Bulgaria,BGR,46,20,20,0,0.66
Burkina Faso,BFA,15,47,11,13,0.32
Burundi,BDI,11,35,13,27,0.38
Cabo Verde,CPV,16,45,10,15,0.35
Cambodia,KHM,15,55,12,4,0.27
Cameroon,CMR,18,36,26,6,0.40
Canada,CAN,57,12,16,1,0.77
Central African Republic,CAF,9,27,9,41,0.42
Chad,TCD,17,49,15,5,0.32
Chile,CHL,21,48,17,0,0.34
China,CHN,15,54,17,0,0.27
Colombia,COL,21,44,21,0,0.37
Comoros,COM,10,51,10,15,0.27
Congo,COG,12,36,6,32,0.38
Costa Rica,CRI,24,48,14,0,0.36
Côte D'Ivoire,CIV,20,44,21,1,0.36
Croatia,HRV,46,19,21,0,0.66
Cuba,CUB,11,58,17,0,0.23
Cyprus,CYP,38,28,19,1,0.56
Czechia,CZE,50,17,19,0,0.69
DPRK,PRK,6,52,16,12,0.24
DRC,COD,3,0,0,83,0.58
Denmark,DNK,47,19,20,0,0.67
Djibouti,DJI,17,50,18,1,0.31
Dominica,DMA,11,25,6,44,0.45
Dominican Republic,DOM,24,47,15,0,0.37
Ecuador,ECU,20,46,20,0,0.35
Egypt,EGY,13,52,21,0,0.27
El Salvador,SLV,20,51,14,1,0.32
Equatorial Guinea,GNQ,13,33,8,32,0.41
Eritrea,ERI,12,53,16,5,0.26
Estonia,EST,49,19,17,1,0.68
eSwatini,SWZ,13,35,6,32,0.40
Ethiopia,ETH,19,52,14,1,0.31
Fiji,FJI,20,43,20,3,0.37
Finland,FIN,43,23,20,0,0.62
France,FRA,50,17,17,2,0.69
Gabon,GAB,13,35,9,29,0.39
Gambia,GMB,18,50,11,7,0.32
Georgia,GEO,36,19,28,3,0.60
Germany,DEU,46,19,21,0,0.66
Ghana,GHA,18,50,11,7,0.33
Greece,GRC,45,23,18,0,0.63
Grenada,GRD,15,47,12,12,0.32
Guatemala,GTM,27,41,18,0,0.42
Guinea,GIN,17,45,13,11,0.34
Guinea Bissau,GNB,18,47,13,8,0.34
Guyana,GUY,22,49,14,1,0.34
Haiti,HTI,18,39,19,10,0.38
Honduras,HND,26,40,19,1,0.42
Hungary,HUN,48,17,21,0,0.68
Iceland,ISL,43,21,22,0,0.63
India,IND,17,44,24,1,0.34
Indonesia,IDN,16,53,17,0,0.28
Iran,IRN,6,56,15,9,0.21
Iraq,IRQ,17,51,15,3,0.30
Ireland,IRL,37,29,20,0,0.55
Israel,ISR,71,2,11,2,0.90
Italy,ITA,45,16,20,5,0.67
Jamaica,JAM,22,49,15,0,0.34
Japan,JPN,38,24,22,2,0.59
Jordan,JOR,16,51,14,5,0.30
Kazakhstan,KAZ,19,50,15,2,0.33
Kenya,KEN,15,47,16,8,0.32
Kiribati,KIR,21,40,13,12,0.40
Kuwait,KWT,20,51,14,1,0.33
Kyrgyzstan,KGZ,13,52,12,9,0.28
Laos,LAO,17,52,15,2,0.30
Latvia,LVA,49,20,17,0,0.67
Lebanon,LBN,17,51,16,2,0.30
Lesotho,LSO,17,49,12,8,0.32
Liberia,LBR,25,17,8,36,0.57
Libya,LBY,14,51,19,2,0.28
Liechtenstein,LIE,36,29,21,0,0.55
Lithuania,LTU,48,18,20,0,0.68
Luxembourg,LUX,46,20,20,0,0.66
Madagascar,MDG,18,39,23,6,0.39
Malawi,MWI,13,39,12,22,0.37
Malaysia,MYS,18,51,17,0,0.31
Maldives,MDV,22,50,14,0,0.34
Mali,MLI,16,53,14,3,0.29
Malta,MLT,38,29,19,0,0.56
Marshall Islands,MHL,46,15,12,13,0.70
Mauritania,MRT,16,51,14,5,0.30
Mauritius,MUS,19,50,13,4,0.32
Mexico,MEX,21,45,20,0,0.36
Micronesia,FSM,48,7,8,23,0.77
Monaco,MCO,46,20,20,0,0.66
Mongolia,MNG,18,50,18,0,0.31
Montenegro,MNE,46,21,19,0,0.65
Morocco,MAR,21,50,12,3,0.33
Mozambique,MOZ,16,45,12,13,0.34
Myanmar,MMR,16,39,11,20,0.38
Namibia,NAM,18,51,14,3,0.31
Nauru,NRU,19,21,6,40,0.53
Nepal,NPL,20,50,15,1,0.33
Netherlands,NLD,47,21,18,0,0.65
New Zealand,NZL,39,31,16,0,0.55
Nicaragua,NIC,11,60,14,1,0.22
Niger,NER,13,33,8,32,0.41
Nigeria,NGA,17,51,16,2,0.31
North Macedonia,MKD,45,22,18,1,0.65
Norway,NOR,46,21,19,0,0.65
Oman,OMN,19,52,14,1,0.31
Pakistan,PAK,15,44,25,2,0.33
Palau,PLW,33,26,7,20,0.56
Panama,PAN,24,45,17,0,0.38
Papua New Guinea,PNG,20,33,14,19,0.44
Paraguay,PRY,21,48,17,0,0.34
Peru,PER,22,50,14,0,0.34
Philippines,PHL,21,52,13,0,0.33
Poland,POL,49,20,17,0,0.67
Portugal,PRT,44,21,21,0,0.64
Qatar,QAT,20,51,15,0,0.32
Republic of Korea,KOR,44,22,20,0,0.63
Moldova,MDA,36,29,19,2,0.55
Romania,ROU,47,19,20,0,0.67
Russian Federation,RUS,19,48,19,0,0.33
Rwanda,RWA,16,36,20,14,0.40
Saint Kitts and Nevis,KNA,12,44,8,22,0.34
Saint Lucia,LCA,16,49,13,8,0.31
Saint Vincent and the Grenadines,VCT,17,47,13,9,0.34
Samoa,WSM,18,35,8,25,0.42
San Marino,SMR,36,28,21,1,0.55
Sao Tome and Principe,STP,10,24,12,40,0.44
Saudi Arabia,SAU,21,49,16,0,0.34
Senegal,SEN,21,50,13,2,0.34
Serbia,SRB,24,31,24,7,0.47
Seychelles,SYC,13,30,7,36,0.42
Sierra Leone,SLE,15,48,10,13,0.31
Singapore,SGP,21,49,16,0,0.34
Slovakia,SVK,47,20,19,0,0.66
Slovenia,SVN,47,19,20,0,0.66
Solomon Islands,SLB,15,29,14,28,0.43
Somalia,SOM,9,37,10,30,0.37
South Africa,ZAF,18,49,17,2,0.32
South Sudan,SSD,11,32,13,30,0.40
Spain,ESP,44,23,19,0,0.62
Sri Lanka,LKA,17,55,14,0,0.28
Sudan,SDN,15,52,13,6,0.30
Suriname,SUR,18,49,14,5,0.32
Sweden,SWE,40,25,21,0,0.59
Switzerland,CHE,37,25,24,0,0.58
Syrian Arab Republic,SYR,5,63,16,2,0.16
Tajikistan,TJK,11,49,14,12,0.29
Thailand,THA,20,49,17,0,0.33
Timor-Leste,TLS,21,49,13,3,0.34
Togo,TGO,19,39,20,8,0.40
Tonga,TON,14,30,22,20,0.42
Trinidad and Tobago,TTO,19,50,16,1,0.32
Tunisia,TUN,16,50,18,2,0.30
Türkiye,TUR,40,27,18,1,0.58
Turkmenistan,TKM,8,47,7,24,0.29
Tuvalu,TUV,12,13,5,56,0.53
Uganda,UGA,14,51,15,6,0.29
Ukraine,UKR,46,20,18,2,0.66
United Arab Emirates,ARE,20,51,15,0,0.32
United Kingdom,GBR,58,17,11,0,0.74
United Republic of Tanzania,TZA,18,44,10,14,0.36
Uruguay,URY,23,43,20,0,0.38
Uzbekistan,UZB,14,51,10,11,0.29
Vanuatu,VUT,16,41,15,14,0.37
Venezuela,VEN,10,59,17,0,0.22
Viet Nam,VNM,20,53,12,1,0.31
Yemen,YEM,19,51,16,0,0.31
Zambia,ZMB,19,43,13,11,0.38
Zimbabwe,ZWE,13,55,16,2,0.26
