COUNTRY,SAME,OPPOSITE,ABSTAIN,ABSENT,COINCIDENCE
Afghanistan,0,18,0,0,0.00
Albania,0,13,5,0,0.00
Algeria,0,18,0,0,0.00
Andorra,0,12,6,0,0.00
Angola,0,18,0,0,0.00
Antigua-Barbuda,0,18,0,0,0.00
Argentina,0,17,1,0,0.00
Armenia,0,16,2,0,0.00
Australia,7,4,7,0,0.64
Austria,0,13,5,0,0.00
Azerbaijan,0,18,0,0,0.00
Bahamas,0,17,1,0,0.00
Bahrain,0,18,0,0,0.00
Bangladesh,0,18,0,0,0.00
Barbados,0,18,0,0,0.00
Belarus,0,15,0,3,0.00
Belgium,0,12,6,0,0.00
Belize,0,18,0,0,0.00
Benin,0,11,0,7,0.00
Bhutan,0,18,0,0,0.00
Bolivia,0,16,0,2,0.00
Bosnia-Herzegovina,0,13,5,0,0.00
Botswana,0,17,1,0,0.00
Brazil,0,18,0,0,0.00
Brunei Darussalam,0,18,0,0,0.00
Bulgaria,0,13,5,0,0.00
Burkina Faso,0,15,0,3,0.00
Burundi,0,4,0,14,0.00
Cabo Verde,0,12,0,6,0.00
Cambodia,0,18,0,0,0.00
Cameroon,0,1,17,0,0.00
Canada,18,0,0,0,1.00
Central African Republic,0,12,5,1,0.00
Chad,0,5,0,13,0.00
Chile,0,18,0,0,0.00
China,0,17,0,1,0.00
Colombia,0,15,3,0,0.00
Comoros,0,3,0,15,0.00
Congo,0,17,0,1,0.00
Costa Rica,0,17,1,0,0.00
Cote d'Ivoire,0,3,9,6,0.00
Croatia,0,13,5,0,0.00
Cuba,0,18,0,0,0.00
Cyprus,0,15,3,0,0.00
Czech Republic,1,12,5,0,0.08
DPR of Korea,0,18,0,0,0.00
Dem. Rep. of Congo,0,4,0,14,0.00
Denmark,0,13,5,0,0.00
Djibouti,0,18,0,0,0.00
Dominica,0,2,0,16,0.00
Dominican Republic,0,18,0,0,0.00
Ecuador,0,18,0,0,0.00
Egypt,0,18,0,0,0.00
El Salvador,0,17,1,0,0.00
Equatorial Guinea,0,3,0,15,0.00
Eritrea,0,17,1,0,0.00
Estonia,0,13,5,0,0.00
Ethiopia,0,16,2,0,0.00
Fiji,0,11,1,6,0.00
Finland,0,13,5,0,0.00
France,1,12,5,0,0.08
Gabon,0,6,0,12,0.00
Gambia,0,11,0,7,0.00
Georgia,0,13,5,0,0.00
Germany,1,12,5,0,0.08
Ghana,0,9,3,6,0.00
Greece,0,13,5,0,0.00
Grenada,0,12,0,6,0.00
Guatemala,0,15,3,0,0.00
Guinea,0,18,0,0,0.00
Guinea-Bissau,0,11,0,7,0.00
Guyana,0,18,0,0,0.00
Haiti,0,5,0,13,0.00
Honduras,0,10,8,0,0.00
Hungary,0,12,6,0,0.00
Iceland,0,14,4,0,0.00
India,0,17,1,0,0.00
Indonesia,0,18,0,0,0.00
Iran,0,18,0,0,0.00
Iraq,0,18,0,0,0.00
Ireland,0,13,5,0,0.00
Israel,18,0,0,0,1.00
Italy,0,13,5,0,0.00
Jamaica,0,18,0,0,0.00
Japan,0,13,5,0,0.00
Jordan,0,18,0,0,0.00
Kazakhstan,0,18,0,0,0.00
Kenya,0,5,0,13,0.00
Kiribati,0,11,1,6,0.00
Kuwait,0,17,0,1,0.00
Kyrgyzstan,0,18,0,0,0.00
Laos,0,18,0,0,0.00
Latvia,0,13,5,0,0.00
Lebanon,0,18,0,0,0.00
Lesotho,0,12,0,6,0.00
Liberia,0,13,4,1,0.00
Libya,0,18,0,0,0.00
Liechtenstein,0,13,5,0,0.00
Lithuania,0,12,6,0,0.00
Luxembourg,0,13,5,0,0.00
Madagascar,0,4,13,1,0.00
Malawi,0,10,2,6,0.00
Malaysia,0,18,0,0,0.00
Maldives,0,18,0,0,0.00
Mali,0,18,0,0,0.00
Malta,0,15,2,1,0.00
Marshall Islands,17,1,0,0,0.94
Mauritania,0,12,0,6,0.00
Mauritius,0,18,0,0,0.00
Mexico,0,17,1,0,0.00
Micronesia,17,0,0,1,1.00
Monaco,0,12,6,0,0.00
